Payment ID,Reporting Period,Payment Status,Order ID,Customer,Item,Date,Amount
1,2026-08,paid,20,customer1@test.mw,Cafe Order,2026-08-31,200.00
1,2026-08,paid,19,customer1@test.mw,Cafe Order,2026-08-31,200.00
1,2026-08,paid,17,customer1@test.mw,Cafe Order,2026-08-31,200.00
1,2026-08,paid,16,customer1@test.mw,Cafe Order,2026-08-31,200.00
1,2026-08,paid,14,customer1@test.mw,Cafe Order,2026-08-27,200.00
1,2026-08,paid,13,customer1@test.mw,Cafe Order,2026-08-27,200.00
1,2026-08,paid,11,customer1@test.mw,Cafe Order,2026-08-25,200.00
1,2026-08,paid,10,customer1@test.mw,Cafe Order,2026-08-25,200.00
1,2026-08,paid,8,customer1@test.mw,Cafe Order,2026-08-25,200.00
1,2026-08,paid,7,customer1@test.mw,Cafe Order,2026-08-25,200.00
1,2026-08,paid,5,customer1@test.mw,Cafe Order,2026-08-25,200.00
1,2026-08,paid,4,customer1@test.mw,Cafe Order,2026-08-25,200.00
,,,,,,Total Amount,2400.00
